locus	segsites1	pairlocus	segsites2	segsites
11	1	366368	1	2
19	2	287976	5	7
39	1	38	4	5
59	6	366418	4	10
91	1	90	2	3
99	2	98	2	4
112	1	111	10	11
126	1	125	2	3
165	17	164	2	19
170	4	169	2	6
178	2	177	2	4
182	1	366591	8	9
244	1	243	5	6
255	7	366661	85	92
260	1	259	8	9
261	1	366666	2	3
265	1	264	4	5
270	1	269	6	7
282	2	281	3	5
295	3	294	3	6
302	8	366705	1	9
312	1	810254	2	3
321	5	320	2	7
324	3	366731	4	7
360	4	359	1	5
362	3	361	3	6
379	1	378	2	3
390	4	389	1	5
391	4	288073	4	8
395	2	394	6	8
398	3	397	2	5
408	1	366855	5	6
412	7	411	1	8
417	3	416	1	4
424	7	423	3	10
429	2	366870	3	5
444	2	443	1	3
446	2	445	1	3
456	1	366893	2	3
470	2	469	2	4
473	1	288092	2	3
478	4	366923	10	14
496	1	495	6	7
499	2	498	3	5
525	1	524	2	3
531	4	530	2	6
533	2	532	5	7
547	3	546	6	9
555	4	554	3	7
572	4	367039	8	12
585	1	367054	1	2
601	1	367066	4	5
614	4	613	3	7
629	3	628	3	6
633	2	367109	4	6
665	3	664	4	7
673	2	672	3	5
674	2	367133	1	3
678	2	677	2	4
679	3	367143	3	6
681	4	367148	5	9
684	1	683	4	5
690	1	367165	13	14
692	4	367166	1	5
701	1	700	3	4
707	2	706	1	3
726	1	725	2	3
737	2	367223	1	3
745	2	367233	3	5
757	1	756	5	6
784	1	783	3	4
790	2	789	2	4
814	2	813	1	3
831	3	367319	8	11
842	4	841	1	5
843	6	288189	1	7
868	4	867	1	5
890	2	889	3	5
894	6	367384	8	14
904	1	367406	3	4
908	2	367408	2	4
915	4	914	5	9
936	5	367427	3	8
937	2	367428	4	6
954	3	953	4	7
978	1	977	2	3
1043	1	367543	3	4
1051	5	367549	1	6
1055	3	1054	2	5
1084	7	367588	7	14
1092	4	1091	12	16
1101	1	367628	2	3
1103	2	1102	2	4
1111	2	367641	9	11
1121	2	367650	2	4
1124	1	367652	1	2
1128	2	1127	3	5
1136	4	367660	1	5
1164	4	1163	1	5
1178	4	986772	2	6
1183	1	367718	2	3
1201	1	1200	2	3
1214	7	1213	5	12
1217	1	1216	2	3
1247	8	1246	1	9
1261	3	1260	2	5
1330	2	1329	2	4
1358	1	367918	1	2
1364	5	1363	1	6
1390	4	1389	3	7
1395	5	1394	4	9
1412	2	368009	2	4
1424	8	1423	2	10
1426	1	1425	1	2
1439	2	1438	2	4
1469	8	368097	3	11
1483	4	1482	3	7
1487	1	1486	1	2
1491	2	288363	2	4
1501	3	1500	2	5
1505	4	1504	7	11
1506	2	288368	6	8
1522	4	1521	1	5
1545	1	368195	6	7
1569	5	810810	2	7
1588	2	1587	2	4
1597	1	368251	1	2
1607	5	1606	1	6
1609	3	1608	2	5
1614	5	368265	1	6
1618	1	1617	2	3
1619	2	368272	1	3
1633	6	1632	1	7
1655	4	368322	4	8
1663	9	288388	1	10
1667	4	368346	2	6
1679	3	1678	2	5
1681	3	1680	2	5
1707	1	368389	2	3
1709	1	1708	2	3
1751	5	368443	5	10
1757	7	368450	2	9
1759	1	1758	1	2
1772	4	1771	5	9
1783	12	1782	1	13
1794	2	368499	2	4
1822	1	368525	1	2
1828	6	368539	9	15
1847	4	1846	3	7
1849	1	1848	5	6
1854	3	1853	2	5
1858	1	1857	1	2
1862	2	1861	4	6
1866	1	1865	3	4
1875	1	368577	3	4
1884	2	1883	2	4
1887	4	368595	4	8
1898	1	1897	1	2
1913	1	1912	12	13
1941	2	368634	1	3
